TimeStamp;Valor;Període tarifari;Tipus lectura
04/05/2024 00:00;2;6;Real
04/05/2024 01:00;2;6;Real
04/05/2024 02:00;2;6;Real
04/05/2024 03:00;2;6;Real
04/05/2024 04:00;2;6;Real
04/05/2024 05:00;2;6;Real
04/05/2024 06:00;2;6;Real
04/05/2024 07:00;3;6;Real
04/05/2024 08:00;1;6;Real
04/05/2024 09:00;0;6;Real
04/05/2024 10:00;0;6;Real
04/05/2024 11:00;0;6;Real
04/05/2024 12:00;0;6;Real
04/05/2024 13:00;0;6;Real
04/05/2024 14:00;0;6;Real
04/05/2024 15:00;0;6;Real
04/05/2024 16:00;0;6;Real
04/05/2024 17:00;0;6;Real
04/05/2024 18:00;5;6;Real
04/05/2024 19:00;13;6;Real
04/05/2024 20:00;13;6;Real
04/05/2024 21:00;10;6;Real
04/05/2024 22:00;3;6;Real
04/05/2024 23:00;2;6;Real
07/05/2024 00:00;7;6;Real
07/05/2024 01:00;7;6;Real
07/05/2024 02:00;7;6;Real
07/05/2024 03:00;8;6;Real
07/05/2024 04:00;7;6;Real
07/05/2024 05:00;7;6;Real
07/05/2024 06:00;8;6;Real
07/05/2024 07:00;8;6;Real
07/05/2024 08:00;7;5;Real
07/05/2024 09:00;5;4;Real
07/05/2024 10:00;2;4;Real
07/05/2024 11:00;0;4;Real
07/05/2024 12:00;0;4;Real
07/05/2024 13:00;0;4;Real
07/05/2024 14:00;0;5;Real
07/05/2024 15:00;0;5;Real
07/05/2024 16:00;0;5;Real
07/05/2024 17:00;4;5;Real
07/05/2024 18:00;10;4;Real
07/05/2024 19:00;10;4;Real
07/05/2024 20:00;7;4;Real
07/05/2024 21:00;4;4;Real
07/05/2024 22:00;2;5;Real
07/05/2024 23:00;2;5;Real
08/05/2024 00:00;2;6;Real
08/05/2024 01:00;2;6;Real
08/05/2024 02:00;2;6;Real
08/05/2024 03:00;2;6;Real
08/05/2024 04:00;2;6;Real
08/05/2024 05:00;3;6;Real
08/05/2024 06:00;3;6;Real
08/05/2024 07:00;4;6;Real
08/05/2024 08:00;2;5;Real
08/05/2024 09:00;1;4;Real
08/05/2024 10:00;0;4;Real
08/05/2024 11:00;0;4;Real
08/05/2024 12:00;0;4;Real
08/05/2024 13:00;0;4;Real
08/05/2024 14:00;0;5;Real
08/05/2024 15:00;0;5;Real
08/05/2024 16:00;0;5;Real
08/05/2024 17:00;0;5;Real
08/05/2024 18:00;2;4;Real
08/05/2024 19:00;10;4;Real
08/05/2024 20:00;12;4;Real
08/05/2024 21:00;5;4;Real
08/05/2024 22:00;2;5;Real
08/05/2024 23:00;2;5;Real
09/05/2024 00:00;2;6;Real
09/05/2024 01:00;2;6;Real
09/05/2024 02:00;2;6;Real
09/05/2024 03:00;1;6;Real
09/05/2024 04:00;3;6;Real
09/05/2024 05:00;2;6;Real
09/05/2024 06:00;3;6;Real
09/05/2024 07:00;4;6;Real
09/05/2024 08:00;2;5;Real
09/05/2024 09:00;0;4;Real
09/05/2024 10:00;0;4;Real
09/05/2024 11:00;0;4;Real
09/05/2024 12:00;0;4;Real
09/05/2024 13:00;0;4;Real
09/05/2024 14:00;0;5;Real
09/05/2024 15:00;0;5;Real
09/05/2024 16:00;0;5;Real
09/05/2024 17:00;0;5;Real
09/05/2024 18:00;2;4;Real
09/05/2024 19:00;4;4;Real
09/05/2024 20:00;9;4;Real
09/05/2024 21:00;9;4;Real
09/05/2024 22:00;3;5;Real
09/05/2024 23:00;2;5;Real
10/05/2024 00:00;2;6;Real
10/05/2024 01:00;2;6;Real
