TimeStamp;Valor;Període tarifari;Tipus lectura
01/01/2022 00:00;6;6;Real
01/01/2022 01:00;6;6;Real
01/01/2022 02:00;5;6;Real
01/01/2022 03:00;7;6;Real
01/01/2022 04:00;7;6;Real
01/01/2022 05:00;5;6;Real
01/01/2022 06:00;8;6;Real
01/01/2022 07:00;7;6;Real
01/01/2022 08:00;7;6;Real
01/01/2022 09:00;8;6;Real
01/01/2022 10:00;4;6;Real
01/01/2022 11:00;5;6;Real
01/01/2022 12:00;4;6;Real
01/01/2022 13:00;5;6;Real
01/01/2022 14:00;4;6;Real
01/01/2022 15:00;4;6;Real
01/01/2022 16:00;5;6;Real
01/01/2022 17:00;5;6;Real
01/01/2022 18:00;5;6;Real
01/01/2022 19:00;6;6;Real
01/01/2022 20:00;7;6;Real
01/01/2022 21:00;5;6;Real
01/01/2022 22:00;7;6;Real
01/01/2022 23:00;7;6;Real
02/01/2022 00:00;6;6;Real
02/01/2022 01:00;7;6;Real
02/01/2022 02:00;7;6;Real
02/01/2022 03:00;6;6;Real
02/01/2022 04:00;7;6;Real
02/01/2022 05:00;6;6;Real
02/01/2022 06:00;6;6;Real
02/01/2022 07:00;8;6;Real
02/01/2022 08:00;11;6;Real
02/01/2022 09:00;11;6;Real
02/01/2022 10:00;6;6;Real
02/01/2022 11:00;10;6;Real
02/01/2022 12:00;11;6;Real
02/01/2022 13:00;7;6;Real
02/01/2022 14:00;6;6;Real
02/01/2022 15:00;6;6;Real
02/01/2022 16:00;6;6;Real
02/01/2022 17:00;6;6;Real
02/01/2022 18:00;6;6;Real
02/01/2022 19:00;5;6;Real
02/01/2022 20:00;3;6;Real
02/01/2022 21:00;3;6;Real
02/01/2022 22:00;2;6;Real
02/01/2022 23:00;3;6;Real
03/01/2022 00:00;2;6;Real
03/01/2022 01:00;3;6;Real
03/01/2022 02:00;2;6;Real
03/01/2022 03:00;2;6;Real
03/01/2022 04:00;5;6;Real
03/01/2022 05:00;6;6;Real
03/01/2022 06:00;6;6;Real
03/01/2022 07:00;7;6;Real
03/01/2022 08:00;35;2;Real
03/01/2022 09:00;44;1;Real
03/01/2022 10:00;43;1;Real
03/01/2022 11:00;40;1;Real
03/01/2022 12:00;38;1;Real
03/01/2022 13:00;34;1;Real
03/01/2022 14:00;31;2;Real
03/01/2022 15:00;36;2;Real
03/01/2022 16:00;32;2;Real
03/01/2022 17:00;33;2;Real
03/01/2022 18:00;34;1;Real
03/01/2022 19:00;30;1;Real
03/01/2022 20:00;26;1;Real
03/01/2022 21:00;5;1;Real
03/01/2022 22:00;4;2;Real
03/01/2022 23:00;5;2;Real
04/01/2022 00:00;4;6;Real
04/01/2022 01:00;4;6;Real
04/01/2022 02:00;5;6;Real
04/01/2022 03:00;5;6;Real
04/01/2022 04:00;5;6;Real
04/01/2022 05:00;9;6;Real
04/01/2022 06:00;10;6;Real
04/01/2022 07:00;10;6;Real
04/01/2022 08:00;13;2;Real
04/01/2022 09:00;12;1;Real
04/01/2022 10:00;15;1;Real
04/01/2022 11:00;14;1;Real
04/01/2022 12:00;11;1;Real
04/01/2022 13:00;13;1;Real
04/01/2022 14:00;11;2;Real
04/01/2022 15:00;11;2;Real
04/01/2022 16:00;17;2;Real
04/01/2022 17:00;29;2;Real
04/01/2022 18:00;29;1;Real
04/01/2022 19:00;30;1;Real
04/01/2022 20:00;25;1;Real
04/01/2022 21:00;3;1;Real
04/01/2022 22:00;2;2;Real
04/01/2022 23:00;3;2;Real
05/01/2022 00:00;2;6;Real
05/01/2022 01:00;3;6;Real
05/01/2022 02:00;2;6;Real
05/01/2022 03:00;3;6;Real
05/01/2022 04:00;3;6;Real
05/01/2022 05:00;6;6;Real
05/01/2022 06:00;6;6;Real
05/01/2022 07:00;7;6;Real
05/01/2022 08:00;8;2;Real
05/01/2022 09:00;26;1;Real
05/01/2022 10:00;39;1;Real
05/01/2022 11:00;38;1;Real
05/01/2022 12:00;34;1;Real
05/01/2022 13:00;40;1;Real
05/01/2022 14:00;38;2;Real
05/01/2022 15:00;34;2;Real
05/01/2022 16:00;42;2;Real
05/01/2022 17:00;38;2;Real
05/01/2022 18:00;36;1;Real
05/01/2022 19:00;38;1;Real
05/01/2022 20:00;35;1;Real
05/01/2022 21:00;33;1;Real
05/01/2022 22:00;33;2;Real
05/01/2022 23:00;33;2;Real
06/01/2022 00:00;33;6;Real
06/01/2022 01:00;33;6;Real
06/01/2022 02:00;34;6;Real
06/01/2022 03:00;33;6;Real
06/01/2022 04:00;34;6;Real
06/01/2022 05:00;36;6;Real
06/01/2022 06:00;37;6;Real
06/01/2022 07:00;37;6;Real
06/01/2022 08:00;39;6;Real
06/01/2022 09:00;34;6;Real
06/01/2022 10:00;34;6;Real
06/01/2022 11:00;33;6;Real
06/01/2022 12:00;30;6;Real
06/01/2022 13:00;28;6;Real
06/01/2022 14:00;27;6;Real
06/01/2022 15:00;29;6;Real
06/01/2022 16:00;30;6;Real
06/01/2022 17:00;30;6;Real
06/01/2022 18:00;31;6;Real
06/01/2022 19:00;32;6;Real
06/01/2022 20:00;33;6;Real
06/01/2022 21:00;34;6;Real
06/01/2022 22:00;34;6;Real
06/01/2022 23:00;34;6;Real
07/01/2022 00:00;34;6;Real
07/01/2022 01:00;36;6;Real
07/01/2022 02:00;36;6;Real
07/01/2022 03:00;35;6;Real
07/01/2022 04:00;36;6;Real
07/01/2022 05:00;37;6;Real
07/01/2022 06:00;40;6;Real
07/01/2022 07:00;38;6;Real
07/01/2022 08:00;37;2;Real
07/01/2022 09:00;39;1;Real
07/01/2022 10:00;40;1;Real
07/01/2022 11:00;42;1;Real
07/01/2022 12:00;35;1;Real
07/01/2022 13:00;33;1;Real
07/01/2022 14:00;33;2;Real
07/01/2022 15:00;33;2;Real
07/01/2022 16:00;34;2;Real
07/01/2022 17:00;35;2;Real
07/01/2022 18:00;35;1;Real
07/01/2022 19:00;16;1;Real
07/01/2022 20:00;5;1;Real
07/01/2022 21:00;3;1;Real
07/01/2022 22:00;2;2;Real
07/01/2022 23:00;3;2;Real
08/01/2022 00:00;3;6;Real
08/01/2022 01:00;2;6;Real
08/01/2022 02:00;3;6;Real
08/01/2022 03:00;3;6;Real
08/01/2022 04:00;2;6;Real
08/01/2022 05:00;5;6;Real
08/01/2022 06:00;6;6;Real
08/01/2022 07:00;7;6;Real
08/01/2022 08:00;7;6;Real
08/01/2022 09:00;15;6;Real
08/01/2022 10:00;19;6;Real
08/01/2022 11:00;34;6;Real
08/01/2022 12:00;32;6;Real
08/01/2022 13:00;30;6;Real
08/01/2022 14:00;28;6;Real
08/01/2022 15:00;19;6;Real
08/01/2022 16:00;10;6;Real
08/01/2022 17:00;11;6;Real
08/01/2022 18:00;11;6;Real
08/01/2022 19:00;12;6;Real
08/01/2022 20:00;11;6;Real
08/01/2022 21:00;10;6;Real
08/01/2022 22:00;10;6;Real
08/01/2022 23:00;10;6;Real
09/01/2022 00:00;10;6;Real
09/01/2022 01:00;9;6;Real
09/01/2022 02:00;9;6;Real
09/01/2022 03:00;7;6;Real
09/01/2022 04:00;7;6;Real
09/01/2022 05:00;8;6;Real
09/01/2022 06:00;8;6;Real
09/01/2022 07:00;10;6;Real
09/01/2022 08:00;11;6;Real
09/01/2022 09:00;23;6;Real
