TimeStamp;Valor;Període tarifari;Tipus lectura
15/01/2023 11:00;2;6;Real
15/01/2023 12:00;0;6;Real
15/01/2023 13:00;0;6;Real
15/01/2023 14:00;0;6;Real
15/01/2023 15:00;1;6;Real
15/01/2023 16:00;1;6;Real
15/01/2023 17:00;2;6;Real
15/01/2023 18:00;3;6;Real
15/01/2023 19:00;2;6;Real
15/01/2023 20:00;2;6;Real
15/01/2023 21:00;2;6;Real
15/01/2023 22:00;2;6;Real
15/01/2023 23:00;2;6;Real
16/01/2023 00:00;2;6;Real
16/01/2023 01:00;2;6;Real
16/01/2023 02:00;2;6;Real
16/01/2023 03:00;3;6;Real
16/01/2023 04:00;2;6;Real
16/01/2023 05:00;2;6;Real
16/01/2023 06:00;3;6;Real
16/01/2023 07:00;4;6;Real
16/01/2023 08:00;7;2;Real
16/01/2023 09:00;15;1;Real
16/01/2023 10:00;11;1;Real
16/01/2023 11:00;4;1;Real
16/01/2023 12:00;8;1;Real
16/01/2023 13:00;0;1;Real
16/01/2023 14:00;2;2;Real
16/01/2023 15:00;2;2;Real
16/01/2023 16:00;9;2;Real
16/01/2023 17:00;11;2;Real
16/01/2023 18:00;12;1;Real
16/01/2023 19:00;11;1;Real
16/01/2023 20:00;7;1;Real
16/01/2023 21:00;6;1;Real
16/01/2023 22:00;2;2;Real
16/01/2023 23:00;2;2;Real
17/01/2023 00:00;2;6;Real
17/01/2023 01:00;2;6;Real
17/01/2023 02:00;2;6;Real
17/01/2023 03:00;3;6;Real
17/01/2023 04:00;2;6;Real
17/01/2023 05:00;3;6;Real
17/01/2023 06:00;3;6;Real
17/01/2023 07:00;6;6;Real
17/01/2023 08:00;5;2;Real
17/01/2023 09:00;7;1;Real
17/01/2023 10:00;7;1;Real
17/01/2023 11:00;2;1;Real
17/01/2023 12:00;0;1;Real
17/01/2023 13:00;0;1;Real
17/01/2023 14:00;0;2;Real
17/01/2023 15:00;0;2;Real
17/01/2023 16:00;15;2;Real
17/01/2023 17:00;11;2;Real
17/01/2023 18:00;11;1;Real
17/01/2023 19:00;13;1;Real
17/01/2023 20:00;12;1;Real
17/01/2023 21:00;4;1;Real
17/01/2023 22:00;2;2;Real
17/01/2023 23:00;3;2;Real
18/01/2023 00:00;2;6;Real
18/01/2023 01:00;2;6;Real
18/01/2023 02:00;2;6;Real
18/01/2023 03:00;2;6;Real
18/01/2023 04:00;2;6;Real
18/01/2023 05:00;3;6;Real
18/01/2023 06:00;5;6;Real
18/01/2023 07:00;9;6;Real
18/01/2023 08:00;8;2;Real
18/01/2023 09:00;14;1;Real
18/01/2023 10:00;15;1;Real
18/01/2023 11:00;7;1;Real
18/01/2023 12:00;3;1;Real
18/01/2023 13:00;7;1;Real
18/01/2023 14:00;6;2;Real
18/01/2023 15:00;2;2;Real
18/01/2023 16:00;9;2;Real
18/01/2023 17:00;38;2;Real
18/01/2023 18:00;33;1;Real
18/01/2023 19:00;11;1;Real
18/01/2023 20:00;7;1;Real
18/01/2023 21:00;6;1;Real
18/01/2023 22:00;3;2;Real
18/01/2023 23:00;2;2;Real
19/01/2023 00:00;2;6;Real
19/01/2023 01:00;2;6;Real
19/01/2023 02:00;2;6;Real
19/01/2023 03:00;2;6;Real
19/01/2023 04:00;2;6;Real
19/01/2023 05:00;4;6;Real
19/01/2023 06:00;7;6;Real
19/01/2023 07:00;9;6;Real
19/01/2023 08:00;9;2;Real
19/01/2023 09:00;13;1;Real
19/01/2023 10:00;8;1;Real
19/01/2023 11:00;3;1;Real
19/01/2023 12:00;1;1;Real
19/01/2023 13:00;0;1;Real
19/01/2023 14:00;2;2;Real
19/01/2023 15:00;4;2;Real
19/01/2023 16:00;35;2;Real
19/01/2023 17:00;12;2;Real
19/01/2023 18:00;11;1;Real
19/01/2023 19:00;9;1;Real
19/01/2023 20:00;6;1;Real
19/01/2023 21:00;4;1;Real
19/01/2023 22:00;2;2;Real
19/01/2023 23:00;2;2;Real
20/01/2023 00:00;2;6;Real
20/01/2023 01:00;2;6;Real
20/01/2023 02:00;3;6;Real
20/01/2023 03:00;2;6;Real
20/01/2023 04:00;2;6;Real
20/01/2023 05:00;5;6;Real
20/01/2023 06:00;6;6;Real
20/01/2023 07:00;7;6;Real
20/01/2023 08:00;7;2;Real
20/01/2023 09:00;9;1;Real
20/01/2023 10:00;6;1;Real
20/01/2023 11:00;1;1;Real
20/01/2023 12:00;1;1;Real
20/01/2023 13:00;1;1;Real
20/01/2023 14:00;0;2;Real
20/01/2023 15:00;1;2;Real
20/01/2023 16:00;25;2;Real
20/01/2023 17:00;10;2;Real
20/01/2023 18:00;9;1;Real
20/01/2023 19:00;9;1;Real
20/01/2023 20:00;7;1;Real
20/01/2023 21:00;5;1;Real
20/01/2023 22:00;2;2;Real
20/01/2023 23:00;2;2;Real
21/01/2023 00:00;3;6;Real
21/01/2023 01:00;2;6;Real
21/01/2023 02:00;2;6;Real
21/01/2023 03:00;2;6;Real
21/01/2023 04:00;3;6;Real
21/01/2023 05:00;2;6;Real
21/01/2023 06:00;6;6;Real
21/01/2023 07:00;8;6;Real
21/01/2023 08:00;8;6;Real
21/01/2023 09:00;7;6;Real
21/01/2023 10:00;5;6;Real
21/01/2023 11:00;3;6;Real
21/01/2023 12:00;1;6;Real
21/01/2023 13:00;0;6;Real
21/01/2023 14:00;0;6;Real
21/01/2023 15:00;1;6;Real
21/01/2023 16:00;6;6;Real
21/01/2023 17:00;10;6;Real
21/01/2023 18:00;15;6;Real
21/01/2023 19:00;27;6;Real
21/01/2023 20:00;8;6;Real
21/01/2023 21:00;7;6;Real
21/01/2023 22:00;2;6;Real
21/01/2023 23:00;2;6;Real
22/01/2023 00:00;2;6;Real
22/01/2023 01:00;2;6;Real
22/01/2023 02:00;3;6;Real
22/01/2023 03:00;2;6;Real
22/01/2023 04:00;2;6;Real
22/01/2023 05:00;2;6;Real
22/01/2023 06:00;3;6;Real
22/01/2023 07:00;2;6;Real
